calc_time,funding_interval_hours,last_funding_rate
1764547200000,8,0.00003119
1764576000001,8,0.00007408
1764604800001,8,0.00001827
1764633600000,8,-0.00000207
1764662400004,8,-0.00002429
1764691200005,8,0.00002908
1764720000000,8,-0.00001162
1764748800001,8,0.00005875
1764777600001,8,-0.00003001
1764806400001,8,-0.00004526
1764835200007,8,-0.00002003
1764864000012,8,0.00006630
1764892800001,8,-0.00001073
1764921600000,8,-0.00003351
1764950400000,8,0.00000883
1764979200001,8,-0.00003128
1765008000000,8,-0.00003446
1765036800008,8,-0.00004264
1765065600000,8,-0.00003842
1765094400000,8,0.00002961
1765123200000,8,-0.00001375
1765152000000,8,0.00002443
1765180800008,8,0.00002072
1765209600002,8,0.00002088
1765238400000,8,-0.00006941
1765267200001,8,0.00002867
1765296000001,8,-0.00000837
1765324800000,8,-0.00005873
1765353600000,8,0.00003043
1765382400009,8,0.00008068
1765411200001,8,-0.00003703
1765440000004,8,-0.00007049
1765468800000,8,0.00008460
1765497600003,8,-0.00005932
1765526400000,8,0.00002732
1765555200005,8,0.00002396
1765584000000,8,0.00002854
1765612800005,8,-0.00001636
1765641600004,8,0.00008139
1765670400004,8,0.00010000
1765699200000,8,0.00003488
1765728000000,8,0.00005249
1765756800000,8,0.00006217
1765785600000,8,-0.00006101
1765814400001,8,0.00005048
1765843200001,8,0.00010000
1765872000000,8,0.00000544
1765900800003,8,0.00002459
1765929600013,8,-0.00003354
1765958400000,8,-0.00001353
1765987200002,8,0.00006131
1766016000003,8,0.00010000
1766044800000,8,0.00004787
1766073600005,8,0.00006792
1766102400013,8,0.00010000
1766131200000,8,0.00010000
1766160000001,8,0.00010000
1766188800004,8,0.00005502
1766217600003,8,-0.00002994
1766246400000,8,0.00005348
1766275200000,8,0.00000629
1766304000002,8,0.00000827
1766332800000,8,0.00003810
1766361600001,8,0.00002990
1766390400006,8,0.00008183
1766419200010,8,0.00010000
1766448000000,8,0.00010000
1766476800002,8,0.00004424
1766505600001,8,0.00003457
1766534400002,8,0.00010000
1766563200006,8,0.00009463
1766592000000,8,0.00010000
1766620800000,8,0.00010000
1766649600000,8,0.00006868
1766678400000,8,0.00010000
1766707200007,8,0.00006298
1766736000002,8,0.00007050
1766764800005,8,0.00010000
1766793600001,8,0.00010000
1766822400000,8,0.00010000
1766851200007,8,0.00009629
1766880000007,8,0.00010000
1766908800001,8,0.00010000
1766937600000,8,0.00010000
1766966400002,8,0.00010000
1766995200001,8,0.00010000
1767024000001,8,0.00010000
1767052800000,8,0.00010000
1767081600002,8,0.00010000
1767110400003,8,0.00010000
1767139200005,8,0.00010000
