calc_time,funding_interval_hours,last_funding_rate
1767225600003,8,0.00010000
1767254400000,8,0.00010000
1767283200000,8,0.00010000
1767312000002,8,0.00008140
1767340800012,8,0.00010000
1767369600000,8,0.00010000
1767398400000,8,0.00010000
1767427200000,8,0.00004959
1767456000000,8,0.00010000
1767484800000,8,0.00010000
1767513600000,8,0.00010000
1767542400000,8,0.00010000
1767571200001,8,0.00010000
1767600000000,8,0.00010000
1767628800010,8,0.00010000
1767657600000,8,-0.00000834
1767686400007,8,0.00002492
1767715200000,8,0.00001663
1767744000006,8,0.00010000
1767772800003,8,0.00003351
1767801600000,8,0.00002002
1767830400001,8,0.00004449
1767859200000,8,0.00010000
1767888000002,8,-0.00002077
1767916800002,8,-0.00003093
1767945600000,8,0.00010000
1767974400000,8,0.00003943
1768003200000,8,0.00003099
1768032000003,8,0.00008182
1768060800001,8,0.00004423
1768089600002,8,0.00010000
1768118400007,8,0.00010000
1768147200000,8,0.00010000
1768176000006,8,0.00010000
1768204800000,8,0.00010000
1768233600007,8,0.00010000
1768262400005,8,-0.00005720
1768291200000,8,0.00008345
1768320000000,8,0.00000579
1768348800000,8,0.00006446
1768377600000,8,0.00010000
1768406400005,8,0.00006377
1768435200009,8,-0.00007965
1768464000004,8,0.00007113
1768492800001,8,0.00002270
1768521600000,8,-0.00005162
1768550400006,8,-0.00002617
1768579200006,8,0.00005662
1768608000002,8,-0.00008239
1768636800000,8,0.00003253
1768665600000,8,-0.00000859
1768694400000,8,0.00005091
1768723200004,8,0.00000989
1768752000001,8,0.00002586
1768780800000,8,0.00003310
1768809600000,8,-0.00004422
1768838400009,8,0.00006989
1768867200004,8,0.00010000
1768896000000,8,0.00002371
1768924800000,8,-0.00007021
1768953600007,8,0.00006934
1768982400000,8,-0.00006314
1769011200000,8,0.00000259
1769040000008,8,0.00007615
1769068800000,8,0.00010000
1769097600000,8,0.00008704
1769126400001,8,0.00010000
1769155200007,8,0.00010000
1769184000000,8,0.00010000
1769212800001,8,0.00005715
1769241600005,8,0.00005419
1769270400000,8,0.00010000
1769299200001,8,0.00010000
1769328000012,8,0.00010000
1769356800001,8,0.00010000
1769385600000,8,0.00004898
1769414400005,8,0.00010000
1769443200003,8,0.00006640
1769472000000,8,0.00002923
1769500800000,8,0.00003176
1769529600000,8,0.00010000
1769558400005,8,0.00010000
1769587200010,8,0.00010000
1769616000011,8,0.00003296
1769644800002,8,0.00000270
1769673600011,8,0.00010000
1769702400001,8,0.00010000
1769731200009,8,-0.00002426
1769760000000,8,0.00000265
1769788800001,8,5.4E-7
1769817600000,8,0.00006775
