Exchange,Contract,7d Ann. %,30d Ann. %,60d Ann. %,90d Ann. %
Binance,BTCUSD_PERP,,5.597427537313432,5.938128483870968,4.691746049382716
Binance,ETHUSD_PERP,,5.232024402985075,5.717976967741936,5.389626049382716
Binance,XRPUSD_PERP,,5.94553947761194,5.636078032258065,4.4856246913580256
Binance,DOGEUSD_PERP,,4.225899179104477,4.823969516129032,3.7248430246913586
OKX,BTC-USD-SWAP,0.0321891947874,0.0321891947874,0.0321891947874,0.0321891947874
OKX,ETH-USD-SWAP,-2.5925049510470997,-2.5925049510470997,-2.5925049510470997,-2.5925049510470997
OKX,XRP-USD-SWAP,2.7476803994417995,2.7476803994417995,2.7476803994417995,2.7476803994417995
OKX,DOGE-USD-SWAP,0.46304585267789994,0.46304585267789994,0.46304585267789994,0.46304585267789994
Bybit,BTCUSD,-4.891365,-4.891365,-4.891365,-4.891365
Bybit,ETHUSD,-11.78439,-11.78439,-11.78439,-11.78439
Bybit,XRPUSD,0.8573850000000001,0.8573850000000001,0.8573850000000001,0.8573850000000001
Bybit,DOGEUSD,10.950000000000001,10.950000000000001,10.950000000000001,10.950000000000001
