calc_time,funding_interval_hours,last_funding_rate
1761955200002,8,0.00010000
1761984000000,8,0.00010000
1762012800006,8,0.00010000
1762041600006,8,0.00010000
1762070400004,8,0.00010000
1762099200000,8,0.00005526
1762128000000,8,0.00004419
1762156800007,8,0.00003727
1762185600000,8,0.00005861
1762214400012,8,-0.00006199
1762243200004,8,0.00005624
1762272000005,8,0.00002686
1762300800000,8,-0.00001782
1762329600001,8,0.00004229
1762358400004,8,-0.00006845
1762387200002,8,0.00008888
1762416000001,8,0.00010000
1762444800000,8,0.00000957
1762473600008,8,-0.00004391
1762502400004,8,0.00006578
1762531200005,8,0.00009148
1762560000000,8,0.00010000
1762588800000,8,0.00005028
1762617600001,8,-0.00002698
1762646400002,8,-0.00003334
1762675200004,8,0.00001216
1762704000008,8,0.00000878
1762732800000,8,-0.00005086
1762761600005,8,-0.00002362
1762790400001,8,0.00008146
1762819200006,8,0.00010000
1762848000011,8,0.00010000
1762876800007,8,0.00006204
1762905600004,8,0.00008249
1762934400001,8,0.00001883
1762963200007,8,0.00002866
1762992000000,8,-0.00005288
1763020800001,8,0.00003687
1763049600008,8,0.00004907
1763078400000,8,0.00005794
1763107200000,8,0.00001631
1763136000011,8,0.00006627
1763164800002,8,0.00007757
1763193600006,8,-0.00000483
1763222400000,8,0.00000726
1763251200001,8,-0.00001277
1763280000001,8,0.00010000
1763308800004,8,0.00005117
1763337600001,8,0.00007402
1763366400003,8,0.00006662
1763395200000,8,0.00007684
1763424000001,8,0.00010000
1763452800002,8,0.00010000
1763481600002,8,0.00002597
1763510400000,8,0.00006351
1763539200009,8,0.00010000
1763568000000,8,0.00006372
1763596800002,8,0.00010000
1763625600005,8,0.00010000
1763654400001,8,0.00010000
1763683200000,8,0.00010000
1763712000000,8,0.00010000
1763740800000,8,0.00008099
1763769600003,8,-0.00001427
1763798400010,8,0.00005206
1763827200005,8,0.00008163
1763856000000,8,0.00003644
1763884800007,8,0.00005866
1763913600007,8,0.00002488
1763942400006,8,-0.00000164
1763971200004,8,-0.00005772
1764000000000,8,0.00007268
1764028800000,8,-0.00006182
1764057600009,8,-0.00004078
1764086400000,8,0.00004668
1764115200007,8,0.00004273
1764144000000,8,-0.00001315
1764172800001,8,-0.00002154
1764201600006,8,-0.00008644
1764230400000,8,-8.7E-7
1764259200009,8,0.00001276
1764288000005,8,0.00002469
1764316800000,8,0.00001488
1764345600002,8,-0.00006515
1764374400007,8,-0.00004266
1764403200001,8,-0.00009175
1764432000010,8,0.00000341
1764460800000,8,-0.00001715
