calc_time,funding_interval_hours,last_funding_rate
1767225600003,8,0.00010000
1767254400000,8,0.00010000
1767283200000,8,0.00010000
1767312000002,8,0.00010000
1767340800012,8,0.00007004
1767369600000,8,0.00008108
1767398400000,8,0.00010000
1767427200000,8,0.00003071
1767456000000,8,0.00010000
1767484800000,8,0.00001524
1767513600000,8,0.00005878
1767542400000,8,0.00005370
1767571200001,8,0.00010000
1767600000000,8,0.00010000
1767628800010,8,0.00006280
1767657600000,8,-0.00001056
1767686400007,8,0.00007012
1767715200000,8,0.00004776
1767744000006,8,0.00010000
1767772800003,8,0.00000966
1767801600000,8,0.00005098
1767830400001,8,0.00002069
1767859200000,8,0.00010000
1767888000002,8,0.00008350
1767916800002,8,0.00001120
1767945600000,8,0.00002099
1767974400000,8,0.00008950
1768003200000,8,0.00010000
1768032000003,8,0.00010000
1768060800001,8,0.00010000
1768089600002,8,0.00010000
1768118400007,8,0.00010000
1768147200000,8,0.00010000
1768176000006,8,0.00010000
1768204800000,8,0.00010000
1768233600007,8,0.00010000
1768262400005,8,0.00010000
1768291200000,8,0.00010000
1768320000000,8,0.00010000
1768348800000,8,0.00006670
1768377600000,8,0.00003124
1768406400005,8,-0.00000219
1768435200009,8,0.00001697
1768464000004,8,-0.00004472
1768492800001,8,0.00009319
1768521600000,8,-0.00006998
1768550400006,8,0.00004404
1768579200006,8,0.00003284
1768608000002,8,-0.00004612
1768636800000,8,0.00004793
1768665600000,8,0.00010000
1768694400000,8,0.00010000
1768723200004,8,0.00009543
1768752000001,8,0.00010000
1768780800000,8,0.00010000
1768809600000,8,-0.00002249
1768838400009,8,0.00002764
1768867200004,8,0.00008555
1768896000000,8,0.00005969
1768924800000,8,-0.00003862
1768953600007,8,0.00001095
1768982400000,8,0.00010000
1769011200000,8,-0.00000640
1769040000008,8,0.00001970
1769068800000,8,0.00008027
1769097600000,8,-0.00000218
1769126400001,8,0.00002240
1769155200007,8,0.00009269
1769184000000,8,0.00001802
1769212800001,8,0.00000660
1769241600005,8,0.00003922
1769270400000,8,0.00006134
1769299200001,8,0.00010000
1769328000012,8,0.00010000
1769356800001,8,0.00001893
1769385600000,8,-0.00010995
1769414400005,8,0.00002390
1769443200003,8,-0.00000352
1769472000000,8,-0.00000945
1769500800000,8,0.00000536
1769529600000,8,0.00003436
1769558400005,8,0.00002478
1769587200010,8,0.00002823
1769616000011,8,0.00000658
1769644800002,8,0.00006609
1769673600011,8,-0.00001668
1769702400001,8,0.00000729
1769731200009,8,-0.00019777
1769760000000,8,-0.00002122
1769788800001,8,-0.00000856
1769817600000,8,-0.00000406
